player,team,pos,tldr,summary,c_fastball,f_fastball,c_slider,f_slider,c_command,f_command,sits_low,sits_high,tops,c_hit,f_hit,c_raw,f_raw,c_game,f_game,c_run,f_run,c_field,f_field,throw,c_curveball,f_curveball,c_change,f_change,c_cutter,f_cutter
Emmanuel Rodriguez,min,CF,"Rodriguez is a fun, weird prospect who plays flashy center field defense and hits for power. He’s going to walk and strike out a ton.","Rodriguez is one of the more entertaining and fascinating prospects in the minors, an incredibly slick defensive center fielder who has plus power and plate discipline. He also has barely played. What would have been Rodriguez’s first pro season was squashed by the pandemic and his next two were shortened by knee and abdominal injuries, limiting him to just 84 combined games in his first three years as a pro. A thumb sprain sidelined him for much of 2024 and required surgery in September.

When healthy, Rodriguez has posted huge stats; he’s a .250/.422/.510 hitter in 230 career games. His underlying TrackMan data corroborates the power and OBP aspects of that output. I thought I’d have to go back and use Rodriguez’s 2023 data to illustrate this because of his thumb injury, but I don’t. Even with a bum digit, he had a 56% hard-hit rate in 2024, and hit a ball 114 mph. He’s only chased 10-14% of the time the last two seasons. This is like a turbo-charged version of Trent Grisham, with louder all-fields power but similar patience and defensive ability.

I can’t wait for the MLB.TV surfers among you to see this guy play defense. He isn’t an elite speedster with huge range; instead, he has incredible skill at the catch point. He makes spectacular plays around the wall and while going to the ground. His reads, routes, instincts and ball skills in center are all spectacular, and right now, he has the foot speed to play there. “Right now” is key, however, and this is where Rodriguez’s profile takes a bit of a turn and becomes more difficult to wrangle. Almost 22 years old, Rodriguez is already a stocky 5-foot-11, 215 pounds or so. He glides around the outfield with ease at present, but whether that will still be true even three or five years down the line isn’t certain because his body is already maxed out.

The other potential issue here (and this is where his profile also kind of aligns with Grisham’s) is that Rodriguez has a well-defined hole in his swing up and away from him; his swing is bottom-hand dominant in the extreme and causes him to swing underneath these pitches with concerning regularity. Rodriguez’s compact body helps keep his swing short enough to be on time in the rest of the zone, and his tremendous plate discipline assures that he only hunts pitches he can drive early in counts. Rodriguez’s defense will give his offensive flaws room to breath during the periods when he is going through contact dry spells, and across an entire season (assuming Rodriguez will eventually be healthy for one), he should produce like an above-average center fielder.",,,,,,,,,,20,30,70,70,50,60,50,50,60,60,60,,,,,,
Ethan Salas,sdp,C,"Salas is a mature, well-rounded catching prospect who projects as a plus-plus defender. He is very likely to add substantial power as he matures, but his swing is kind of weird, so he might not tap into all of it in games.","Among the most high-profile international amateur prospects of the last decade or so, Salas signed for $5.6 million in January of 2023 and weeks later was in Arizona competing with upper-level minor leaguers and the occasional big leaguer during spring training. He was promoted from the extended spring group to Low-A Lake Elsinore just a few days before his 17th birthday, and he thrived there for most of the rest of his debut season.

In 2024, he really struggled with the bat at High-A Fort Wayne, posting a paltry .206/.288/.311 line there. He also struggled badly with ball-blocking for a huge chunk of time in the middle of the season and went through a phase of flinching and aversion to the baseball. By the very end of the regular season, this had started to improve, and Salas had a good, if sometimes haggard-looking, six-week run in the Arizona Fall League, hitting .228/.327/.424 with as many homers (four) as he had all year at Fort Wayne as the circuit’s second-youngest player.

It’s hard to contextualize Salas’ 2024 statistical performance because there isn’t much precedent for his promotion pace, and the little that does exist is different due to changes to the structure of the minors. Wander Franco and Vladimir Guerrero Jr. debuted in the Appy League, for instance, rather than in full-season ball like Salas, but both also reached High-A during the back half of their age-18 seasons, and both of them really hit. Salas did not, at least not on the surface. His underlying contact data is better than that of a .206 hitter (77% contact rate, 83% in-zone), but it isn’t awesome. Salas’ bat path creates some issues, as he’s underneath a lot of fastballs away from him and struggles to make good contact against softer stuff. He can snatch fastballs up around his hands, but otherwise isn’t a dangerous hitter right now. Salas is still super projectable and is likely to wind up with plus raw power at maturity. If he becomes as good a defender as he’s projected here, he can have a one-note offensive skill set and still be a really good player.

Salas’ receiving is incredibly still and quiet, and he’ll likely be a great pitch framer at maturity, if he isn’t already. His arm is comfortably plus, and the ease and consistency with which he exits his crouch and gets to his release point is unbelievable for anyone, let alone a catcher this age playing several levels above what is typical. The ball-blocking aspect should improve as Salas keeps getting bigger and his body can more comfortably weather the storm of catching. He remains projected as a premium all-around defender with rare raw power for his position, but the hit tool aspect of Salas’ profile is tracking below what was considered possible when he first debuted. It’s looking less likely Salas will be “Kyle Tucker, but a Gold Glove catcher.” Instead, his swing is reminiscent of Jason Heyward‘s and he might have a similar trajectory, where he’s merely very good rather than a franchise-altering talent.",,,,,,,,,,25,40,45,60,30,55,50,40,45,70,60,,,,,,
Hagen Smith,chw,SP,Smith’s breaking ball and fastball velocity form the foundation of a quick-moving impact starter.,"Smith spent his underclass seasons jockeying back and forth between Arkansas’ bullpen and rotation, working just over 70 innings each year. Entering the spring of 2024, I thought he had more of a relief look, like a Brooks Raley 레일리 type, but Smith had an incredible season. He struck out damn near two batters per inning (161 K, 84 IP) and posted a .893 WHIP across 16 starts. A big reason why Smith now not only looks like a slam dunk starter prospect but potentially a top five pick is because of his fastball command, which he sustained throughout the 2024 season even as his velocity climbed. He averaged 95-96 mph, both pre- and post-draft, and touched 100. The rise/run combo of his fastball helps big swing-and-miss results, and Smith’s arm stroke (which is both very quick and very low) appears deceptive and makes hitters uncomfortable. It looks like the delivery of a shorter-levered Madison Bumgarner. Smith routinely locates his heater up and to the arm side of the plate, where its movement plays best. Off of that his huge sweeping slider bends in the opposite direction, and Smith commands that too. It doesn’t tip its break until very late in flight, and once it starts to move, it moves a ton, sometimes all the way from the arm-side edge of the plate to the dirt in the opposite batter’s box.

Those two pitches were enough for Smith to carve up SEC hitters, but he’ll probably need a third pitch to truly hit his ceiling. Right now, he has a changeup that he can control the location of, but it doesn’t have great movement. Smith’s arm stroke is quick and he has feel for location, so his changeup projection is quite good. He could also take a route similar to Bumgarner and mix in a cutter, which he’d need to develop from scratch. He has mid-rotation projection either way.",60,60,70,70,35,55,93,97,100,,,,,,,,,,,,,,40,50,20,55
Bubba Chandler,pit,SP,"Chandler’s command and slider consistency are pretty raw, but his athleticism and background (former multi-sport & two-way player) allow for projection in these areas. He has prototypical size and arm strength, and his changeup has improved a ton as a pro.","Chandler was a two-sport, two-way high schooler who could have gone to Clemson for baseball and football. Instead he signed for $3 million as the first pick in the 2021 third round and was developed as a two-way player for parts of two seasons before focusing on pitching beginning in 2023. Things have gone very well. Across the last two seasons, Chander has worked at least 110 innings and struck out a little more than a batter per frame, with his walk rate trending down to a little better than the big league average as he climbed to Triple-A in August. He was still sitting 95-98 at the very end of the season, even as he set a career-high mark for innings.

Chandler’s fastball is his best pitch. He hammers the top of the zone with it, and it generated plus chase and miss in 2024. His 86-90 mph changeup has progressed very quickly. It can sometimes sail on him, but it has plus tailing action that misses bats when Bubba keeps it down in the zone, and it can occasionally steal a strike by running back over the corner of the plate even when he mis-releases it. His slider hasn’t taken quite the same leap; too often it backs up on him and is hittable despite sitting 88-90 mph. It didn’t miss bats consistently in 2024, but its ceiling is still pretty exciting because of how hard Chandler throws it. Though his delivery is a bit more effortful than most big league starters, and he has occasionally struggled with walks as a pro, Chandler’s athleticism and multi-sport background make me want to continue projecting on his command deep into his 20s. There’s still development happening here (for instance, Chandler made his first start on four days rest in the middle of 2024), but so far, Chandler’s dev is going as well as could have been hoped when he was drafted, and he’s tracking like a mid-rotation starter. He’s entering his 40-man platform year and could debut late in the season so he can retain his rookie eligibility into 2026.",60,60,45,50,40,50,95,98,99,,,,,,,,,,,,,,55,70,,
Brandon Sproat,nym,SP,"Sproat has been healthy and sitting in the mid-to-upper-90s for several years, and changes made to his delivery since turning pro have improved his breaking stuff.","Sproat was the Mets’ 2022 third rounder, but he didn’t sign, opting instead to go back for a fourth year at Florida, where he exceeded 100 innings during the regular season; he was shut down after the Mets drafted him again.

Sproat was a cross-bodied, lower-slot guy in college, but he’s more direct to the plate now, and is throwing from more of a three-quarters slot, giving his fastball rise/run shape rather than the sink/tail of his college days. He has kept throwing hard amid the changes and has been living in the upper-90s without incident for several years. He was still reaching back for 100 late in the 2024 season. The delivery tweaks added depth and diversity to Sproat’s breaking pitches, and he’s now attacking with six different offerings. He has a sweeper-shaped slider in the 82-85 mph range, the shape of which he can alter to look more like a cutter, and an upper-70s curveball. He also mixes in two- and four-seam fastballs, and pronates over top of his trademark changeup. Breaking ball consistency was Sproat’s biggest issue at Florida and it looks as though the Mets have helped him make an adjustment there. That sweeper is currently his most consistent bat-misser, but I expect Sproat’s changeup will also return to being a weapon as he gets feel for this new delivery. His other pitches are deployed with such unpredictability that they’ll induce weak contact; he had a 50% groundball rate in 2024.

After working 116.1 innings and reaching Triple-A Syracuse in 2024, Sproat is on the doorstep of the big leagues and is likely to debut in 2025. He should be a mid-rotation stalwart soon.",60,60,50,60,40,45,94,98,100,,,,,,,,,,,,45,45,50,60,45,45
Caden Dana,laa,SP,"Dana looks like a mid-rotation workhorse with a complete repertoire, led by a dynamite slider.","Dana signed for just under $1.5 million as an 11th rounder in 2022, and it took him just two years to become a workhorse mid-rotation starter prospect. He had a Herculean 2024 season, as he was able to sustain average velocity for the entire year even though his workload doubled to 146 innings. At just 20 years old, Dana made 23 starts at Double-A (14 of them “quality starts”) before he had a rocky cup of coffee with the big club in September.

Dana is built like an innings-eating monster at a muscular 6-foot-4. Though he lacks precise command right now, his delivery is so loose and easy that it’s fair to project he’ll keep improving in this area and develop plus command of his four-pitch repertoire as he enters his prime. Dana’s best pitch is his slider, which resides in the 84-88 mph range and can be used to garner chase, or as a backdoor offering against lefties. He flashed a good changeup during his brief big league call-up — its power sink even made Kyle Tucker and Yordan Alvarez miss badly — but his feel for dotting it in enticing locations isn’t as consistent as it is for his other pitches (yet). Still, given how loose and easy his delivery is, it eventually should be.

The biggest change to Dana’s report compared to last cycle concerns his fastball grade. I was too worried about its in-zone viability on my last pass. It played great in the zone in 2024 and, considering how he held his arm strength under a massive innings increase, he might have another gear of velo in him once he gets used to working this much. Plus, it looks like he’s going to command it to the locations in which it plays best. Dana is basically big-league ready as he approaches his age-21 season and projects as a mid-rotation stalwart in the Germán Márquez mold.",50,55,70,70,50,60,92,95,97,,,,,,,,,,,,45,50,45,55,,
Bryce Eldridge,sfg,1B,Eldridge is an enormous power-hitting first base prospect whose swing is already geared to get to his tremendous raw thunder.,"Eldridge is a human skyscraper at 6-foot-7 and has some of the most exciting raw power projection in all the minors. In his first full pro season, split pretty evenly between Low- and High-A, he hit .289/.372/.513 with 23 home runs. Then the Giants gave him two model-jobbing promotions to Double-A Richmond and Triple-A Sacramento; Eldridge played fewer than 10 games at each stop before he was sent to the Arizona Fall League, where he looked absolutely exhausted (especially on defense).

Eldridge is going to have enormous power in the Matt Olson/Adam Dunn zip code one day. He already has plus raw — 111 mph max velo, 106 mph EV90, 56% hard-hit rate in 2024 — and still has a ton of room on his frame for mass and strength. Any time a hitter this size comes along, there are justifiable doubts about whether or not he’ll be able to catch up to big league velocity, and while Eldridge is definitely going to have elevated strikeouts throughout his career, he also has a remarkably short swing for a hitter his size, and he has shown an ability to move the barrel around the zone. He still had more swings and misses than balls in play in 2024, which is often a scary indicator, but while his contact metrics are a full standard deviation below the big league average — 16% swinging strike rate, 77% in-zone contact, 67% overall — there’s just too much playable power here to fret over that.

Where Eldridge most needs to improve before he dons a big league uniform is on defense. It’s no doubt exhausting for a guy this size to bend and get deep into his lower body all summer, but by the end of the year, Eldridge was playing first base with such a high center of gravity that it often cost his team outs. There are times when he fails to stretch enough on a bang-bang play, or comes off the bag entirely because he can’t stretch enough, and this happens way more often than is acceptable at the big league level. Eldridge doesn’t have to be doing the splits at first to be a fine defender, but he definitely needs to learn how to hold the bag better. The Giants have tried him in right field (Eldridge was also a marginal pitching prospect in high school, and his arm would play there), but not at all in 2024; he seems like a first base-only prospect now. This guy is going to be a middle-of-the-order force, so it doesn’t really matter where he plays and it barely matters how good a defender he becomes, but it’s the aspect of his game that needs the most help right now. It’s plausible Eldridge will be up late in 2025, late enough for him to retain rookie eligibility entering 2026. Like your balsa wood bridge from shop class, if Eldridge’s hit tool can pass the test of upper-level pitching, he’ll be a top 10 prospect by that time.",,,,,,,,,,30,40,60,80,45,70,45,30,30,40,60,,,,,,
Jacob Misiorowski,mil,SP,"Misiorowski is a freaky 6-foot-7 righty who frequently touches 100 and flashes some plus-plus sliders. Because of his size and JUCO background, he might take a little longer to find consistent feel for release. If he never does, he’ll still be an elite late-inning option.","Misiorowski’s velocity climbed throughout the lead up to the 2022 draft; he was sitting 91-93 early in the year, but by the time the Combine rolled around, he was touching 100. Misiorowski quickly added a second breaking ball to his repertoire upon his entry to pro ball, and he’s been able to sustain upper-90s arm strength amid a 20-inning uptick in each of the last two years. He threw just shy of 100 innings in 2024 and was put in the bullpen late in the year as a way of limiting his workload (and in the event that the Brewers needed him out of the ‘pen for a playoff run). He’ll be sent out as a starter again in 2025.

Miz is incredibly nasty — even at the end of 2024, his fastball was averaging 98 mph and touching 101 — but he has walked 13-15% of opposing hitters at each minor league level. He is a gangly and wiry 6-foot-7, incredibly loose and explosive, and simply hasn’t developed sufficient body control to throw strikes yet. Because Misiorowski was a junior college draft pick, he’s pretty young — as you’re reading this Top 100 blurb, he’s still 22 years old, with stuff is so overwhelming that he has K’d 30% of Double- and Triple-A hitters. Both of his breaking balls added velocity in 2024; his curveball was averaging 85 mph once he got to Nashville, and he threw some 93-95 mph cutters during that time. There’s definitely risk that Misiorowski will go the way of Nate Pearson, another junior college pick with enormous stuff who not only hasn’t figured things out enough to start, but has also struggled in relief. That’s the floor here. But this is extra-planetary stuff we’re talking about, and Misiorowski is much more loose and sinewy than Pearson, and should have superior athletic longevity. Even if Miz ends up in the bullpen, he could be an Edwin Díaz-type closer. If he polishes his strike-throwing enough to start, then there really isn’t anyone to compare him to.",70,80,,,30,40,97,99,102,,,,,,,,,,,,60,70,,,50,60
Chase Burns,cin,SP,Burns throws 100 and has two potentially devastating breaking balls.,"Burns was one of those pitchers who was already touching 100 as a high schooler and throwing with such effort and violence that teams were standoffish and generally had him pref’d in the comp round. That wasn’t high enough for Burns to sign, and he ended up at Tennessee where, after a great freshman season as a starter, he was squeezed out of a talented rotation as a sophomore (but was great in high-leverage long relief). Burns transferred to Wake Forest (renowned for its pitching development) for his junior year and had an incredible season (100 innings, 96 baserunners, 191 strikeouts) but missed out on a national title. He went wire-to-wire as maybe the best pitching prospect in the 2024 draft class and could feasibly be in the big leagues early in 2025.

Burns has been able to sustain elite velocity for his entire career, and the way his pitches work together when he is commanding them (which is kind of an issue) is stylistically similar to Justin Verlander and Hunter Brown. While he’s a more tightly wound athlete than most front end big league starters, Burns otherwise has prototypical size and physicality. He will probably grow more and more barrel-chested as he ages; his frame started creeping that way late in college. Burns uses big spinal tilt to get to an extreme vertical arm slot that, in concert with his size, gives his fastball huge downhill plane. Even at his velocities (he averaged 98 and touched 101 in 2024), this causes his fastball to be hittable when it’s in the meat of the zone and below. He needs to command it more consistently to the upper boundary of the strike zone for that pitch to max out. If he can, then we’re in Verlander pitch mix territory because of the way Burns’ secondary stuff can play off of that fastball location.

His high arm slot makes it very difficult to spot breaking balls popping out of Burns’ hand because they’re always descending. His slider has nasty vertical depth for a pitch in the 87-90 mph range and can be used to get strike one, or deployed like a cutter in on the hands of lefties, or as a finishing pitch in the dirt. His curveball gives him a second, slower version of everything, but it’s not nearly as nasty as the slider. It’s tough to turn over a changeup from his arm slot, so Burns doesn’t — his slot lowers when he throws his change, and his best cambios are a well-located 45-grade offering. Because of the way his breaking balls play versus lefties, this shouldn’t be an issue in pro ball, though it wouldn’t hurt to have a good changeup. Burns’ mechanical operation requires a lot of effort and it detracts from his command. It’s possible he’ll continue to refine the feel for his body and release as he matures (he’s a 22-year-old kid throwing 100 for goodness sake), but it certainly wasn’t a polished part of his game as of draft time. He’s a pretty good bet to become a mid-rotation starter and has front-end upside if his command gets better.",60,60,70,70,30,45,96,99,101,,,,,,,,,,,,50,55,30,40,,
Alfredo Duno,cin,C,"Duno is a freak who hasn’t been able to play much because of injuries. He has rare speed for a catcher, and could hit 30-plus homers at peak if he makes enough contact.","Duno is one of the freakier prospects in baseball, a tool shed 6-foot-3-ish catcher with elite power potential and and eye-popping speed for someone so big. His titanic size and strength, as well as his remarkable athleticism for such a huge teenager, give Duno both extraplanetary power potential and room to forecast huge growth on defense.

After a 2023 pro debut in the DSL, the Reds skipped Duno over the domestic complex and sent him straight to Low-A Daytona in 2024. There Duno slashed .267/.367/.422 with a 28.8% K% in 32 games before he broke a rib and was shut down for the rest of the year. Duno looked like he was starting to get a feel for how to use his size on defense in the couple of weeks leading up to his injury, and this was especially true when it came to ball-blocking. Duno’s mobility for a catcher his size is incredible, and the way he can bend and explode out of his crouch to field his position is very exciting. His throwing has not been as good as was advertised when he first signed. He dealt with elbow issues in 2023 (which is why he didn’t catch that year), and he hasn’t shown a consistently plus hose stateside, though some of that is because his footwork coming out of his crouch has been so inconsistent. It’s something to watch, but the way Duno progressed on defense in his little bit of healthy 2024 play was very positive overall.

At the plate, Duno is still getting a feel for his volcanic bat speed and bodily verve, but holy cow, can this guy swing it. He has plus raw power right now at age 19 and is going to grow into more. He’s big but not maxed out, built like Heliot Ramos scaled up four inches. Duno is also shockingly fast, and not just for his size, posting some run times to first base near 4.25 seconds in his limited action. Duno presents one of the most exciting toolsets in all of minor league baseball, but he hasn’t played very much yet, and whether or not his strikeout issues can improve via regular reps will dictate how good he becomes. He’s a risky prospect with superstar ceiling, and my tape study of his defense was encouraging enough to say that he raised his floor in 2024 even though he didn’t get the opportunity to race up the minor league ladder.",,,,,,,,,,20,35,60,80,25,70,55,40,40,60,45,,,,,,
Adrian Del Castillo,ari,C,"Del Castillo is likely going to struggle to control the run game, but he should get to enough power to justify plenty of starts at DH. Think a lefty-hitting Ryan Jeffers.","Del Castillo looked like he might be the best catcher in his draft class and a potential future top 10 pick during his freshman year at Miami, a season that saw him also play some third base and right field. A COVID-shortened sophomore campaign meant he didn’t get the opportunity to repeat that performance and solidify his spot in the class, and then Del Castillo regressed as a hitter during his junior season and was a buy-low of sorts at pick no. 67. After a rough, strikeout-prone introduction to pro ball in 2021 and 2022, Del Castillo has been raking, and debuted with the big league club late in 2024. The hitting environments at Arizona’s upper-minors affiliates — Amarillo and Reno — should generate some skepticism about his overall statline from the last two seasons, but importantly, Del Castillo posted a career-best strikeout rate (by a huge margin) in 2024, and his strength and conditioning looks as though it has taken a meaningful step forward.

Del Castillo still has some issues on defense. Most significantly, his 2.05-ish second pop times are at the bottom of what tends to be acceptable for a regular catcher (he hasn’t played other positions as a pro). His excellent accuracy makes up for this to some extent, but he has allowed a career 80% stolen base success rate in the minors, with a 93% success rate on 29 attempts during his call-up to Phoenix. Other aspects of Del Castillo’s defense are also below average, but not so bad that he needs to change positions. Speedy opposing offenses will turn games against him into a track meet, but with Gabriel Moreno entrenched as the primary guy, los Serpientes get to pick their spots with the way Del Castillo is deployed.

He’s going to hit enough to justify some DH/1B reps, too, and depending on whether Arizona re-signs or replaces Joc Pederson and Christian Walker, Del Castillo could see 400 PA in 2025 as a combo backup catcher and platoon DH. He can still be beaten by well-executed fastballs up and away from him, but you had better put it there because he can do damage throughout the rest of the zone, especially against stuff on the inner half. His added strength shows in his TrackMan stats, as Del Castillo’s measurable power has taken a leap in two consecutive years; for example, his hard-hit rate has risen from 29% to 46% during that time. The big question here is whether Del Castillo’s significant improvement in strikeout rate will hold multi-year water. It’s logical that the added strength has had an impact on Del Castillo’s raw power, but has it also somehow made him a more skilled hitter? His batting stance changed somewhat in 2024, but the rest of his swing really hasn’t. He has always had lovely hitting hands, and he tracks and identifies breaking stuff, he just struggles to get on top of a somewhat large subset of heaters. Were Del Castillo definitely a “no” at catcher, then maybe a strikeout rate regression to his career norm would be something to fear, but there’s enough playable power here for him to be considered a primary catching prospect in a vacuum.",,,,,,,,,,40,50,55,55,45,55,20,20,30,40,35,,,,,,
Nick Kurtz,ath,1B,"Kurtz is an advanced, well-rounded bat who has a good chance to be the first hitter from last year’s draft to debut in the bigs, and he could be a top 10 first baseman at peak.","A gigantic individual with enormous strength, Kurtz’s performance plateaued during his junior year at Wake, but he still clubbed more than 20 homers for the second consecutive season and posted a 1.294 OPS. The A’s made him the fourth overall pick and The Colonel reached Double-A by the end of the summer and then picked up Arizona Fall League reps. This is an upward re-evaluation of Kurtz compared to his pre-draft grade, which had him more in the middle of the first round.

Kurtz does some special stuff and has some unique physical characteristics that make him effective. He has plus power generated by big time thunder in his hands, and his swing features a back-side collapse, which creates power-producing loft. Despite his size, Kurtz is a short-levered guy. His front arm basically bars as he loads his hands, but his T-Rex levers help keep his swing from getting too long. He has terrific vertical plate coverage and is a threat to do damage all over the zone. Big league pitchers are likely to attack Kurtz on the outer third with fastballs and changeups, which his short levers/open stride combo sometimes cause him to swing inside. Concerns about covering the outer third of the zone were a big part of why Eric was lower on Kurtz before the draft, but while he does his fair share of whiffing in that location, he’s also incredibly dangerous to the opposite field when pitchers don’t quite execute there. His college (87% z-contact%, 80% overall contact) and post-draft data (86% in-zone, 76% contact, 8% SwStr%) reinforce confidence in his contact ability.

Kurtz isn’t a great athlete or bender, and he plays defense with a high center of gravity but scouts love his first base defense. He might have a relatively short shelf life as an athlete because he’s such a big guy, but now isn’t the time to fret about that. In the immediate future, Kurtz is likely to race to the big leagues and produce like an impact heart-of-the-order hitter at 1B.",,,,,,,,,,35,55,65,65,35,60,30,30,35,55,60,,,,,,
Quinn Mathews,stl,SP,Mathews was a crafty college starter with generic stuff who has added velocity in pro ball.,"The Cardinals gave Mathews $600,000 as a senior sign in the fourth round of the 2023 Draft after he threw 124.2 innings as Stanford’s Friday night starter. He struck out 158 batters and, infamous 2023 postseason pitch counts aside, he was viewed as a very safe, changeup-oriented backend starter prospect whose ceiling was capped by well-below-average velocity.

Then, ho hum, Mathews had a significant velocity spike in 2024 and led the minors in strikeouts. I’m buying that Mathews’ uptick in velocity (he averaged 91 in his final year at Stanford and was sitting 93-96 last year) is for real because it was accompanied by a physical change. This guy has been doing glute bridges and such; his lower body has gotten much, much stronger. He’s also not being ridden as hard as he was at Stanford, though his workload in college primed him to pitch 143.1 innings in his debut season as a pro. He’s among the most stretched-out, fully-baked pitching prospects in the minors, and could handle a full big league season workload this year if he had to.

Mathews’ secondary stuff remains strong. His slider has also enjoyed an uptick in velocity, climbing from 79-81 mph in college to 83-86 mph in pro ball, and touching above that. His changeup was a legit bat-missing offering in college and remains so. It plays very well off his fastball, solid arm speed sells the pitch, and it has late, sinking action. None of this has had a detrimental impact on Quinn’s command, or his mechanical look. He’s still a super smooth operator who takes a consistent, direct line to the plate and fills the zone. He is on pace to do what Tanner Bibbee did in Cleveland: race to the big leagues in a mid-rotation capacity after looking like the most vanilla of backend starters just a year before.",55,55,55,60,45,55,93,96,97,,,,,,,,,,,,45,45,60,60,,
Angel Genao,cle,2B,Genao has real helium and might be a top 15 prospect next year if his arm strength improves enough for him to remain at shortstop. He should have a contact/power combination suitable for second or third base if he can’t.,"Genao still has some issues to solve on defense before he can be considered a shortstop fit, as his arm strength and accuracy remain sketchy. But the good news is that it might not matter where he ends up playing defense, because Genao is starting to get stronger and deliver brutal blows to the baseball, which should enable him to profile at second or third base if it comes to that. He slashed a BABIP-aided .330/.379/.499 split between the two A-ball levels last season. Genao, who turns 21 in mid-May, has one of the cooler looking swings in prospectdom, a somewhat elaborate, full-body hack with a big finish behind him. He’s more skilled as a lefty, but he can damage mistakes from either side. Aspects of Genao’s swing might leave him vulnerable around his hands once he starts facing good velocity, but for now Genao (pronounced jen-OW) looks like an everyday middle infield performer in every statistical category. He’s a sneaky bet to wind up in the top 20 of next year’s list.",,,,,,,,,,35,55,45,55,30,55,50,50,40,50,45,,,,,,
Max Clark,det,CF,Clark is a speedy center field prospect who makes hard line drive contact. He has a classic leadoff hitter’s profile.,"Clark was a well-known, top-of-his-class high schooler several years before he was draft eligible because of his consistent, superlative performance in travel ball tournaments. He entered pro ball as a dynamic, old school leadoff hitter prospect, and so far that’s exactly what he looks like. Clark spent most of his first full pro season at Low-A Lakeland and was promoted to High-A West Michigan for the final month and a half of 2024. Combined, he slashed .279/.372/.421 and tallied 36 extra-base hits and 29 steals in 33 attempts in 107 games.

Clark’s lightning-quick hitting hands are best at snatching pitches around the top of the strike zone. He slices and hooks lots of hard, low-lying contact from line to line, then uses his speed to take extra bases. His swing doesn’t feature big lift, and Clark lacks overt, frame-based power projection, but the amount of contact he makes and its quality should enable him to hit for plenty of in-game power in pro ball — it will just likely manifest as 40 or 50 doubles rather than 30-plus home runs.

Clark still has some developing to do in center field. He easily has the speed to play the position well, but often looks uncomfortable at the catch point. None of Clark’s underlying data is particularly nutty when compared to big league averages, but it’s impressive across the board for an up-the-middle player his age. He’s still tracking like a traditional leadoff-hitting center fielder with a well-rounded game.",,,,,,,,,,35,60,40,45,30,45,70,70,40,50,45,,,,,,
Alex Freeland,lad,SS,"After strikeouts plagued the early portion of his pro career, Freeland had a breakout 2024 and now looks like a soon-to-be everyday shortstop.","For those who consider bat-to-ball skills to be an innate ability, I present Freeland, who had a 67% contact rate in 2023 and a 78% rate in 2024. This delta is most pronounced from the left side, as Freeland’s contact rate as a lefty was 70% in 2023 and a miraculous 80% in 2024. His left-handed swing appears toned down relative to 2023 (he’s gone from a leg kick to a toe tap), and in 2024, he climbed three levels to Triple-A while slashing .260/.387/.442. Freeland still swings hard and is capable of leaving the yard to all fields. He’s gotten better at covering the upper part of the strike zone from the left side, though his righty swing is much less dynamic and only geared for low-ball contact. Freeland’s excellent arm strength makes him a shortstop fit on defense despite below-average range. Without an obvious shortstop on the Dodgers big league roster, Freeland is in position to play a very important big league role in 2025 and might be the club’s long-term answer at that position.",,,,,,,,,,40,50,55,55,40,55,50,50,45,45,60,,,,,,
Travis Bazzana,cle,2B,"The first overall pick in the 2024 draft, Bazzana is a well-rounded hitter with low-ball power, but he’s not a good defender.","A six-sport athlete at Turramurra High School (about 20 minutes north of the Sydney Opera House), Bazzana ran track (100m dash, long jump and high jump), played soccer, basketball, and rugby, lettered in cricket from grades seven (!) through 12, was captain of his high school’s state championship cricket team, and was on Australia’s U18 Baseball World Cup roster in 2019. He was immediately a good college hitter at Oregon State, where he slashed .360/.497/.660 throughout his career and .407/.568/.911 as a junior with 28 homers and only 37 strikeouts. The Guardians made him the first overall pick in the 2024 draft and Bazzana struck out at a surprising 25.4% clip in 122 PA at High-A, twice what he did before the draft.

A compact athlete cut from the same cloth as Rougned Odor and Brian Dozier, Bazzana has terrific plate coverage, with power and swing loft that ensures he gets to it in games. This guy can bang to all fields. Short levers enable Bazzana to turn on inside pitches with power (this is where he’s most dangerous), while his raw strength and bat speed give him oppo-gap doubles pop. Bazzana has an uphill, damage-causing bat path all over the zone, and his lower body can dip to help him scoop low pitches.

Though he runs well in a straight line, Bazzana is not an especially graceful mover, nor a very good second base defender. He’s a 40-grade athlete in space, with below-average hands and arm strength. Very similar to JJ Wetherholt, Bazzana lacks the size of your typical impact big leaguer, but à la Rougie, there’s plenty of precedent for a guy like this succeeding. Considering his non-traditional baseball background, it’s conceivable that Bazzana still has room for growth as a hitter as he gains high-level experience. Athletic limitations make it tough to forecast the same kind of growth on defense, but Bazzana has been an “arrow up” guy for the last three seasons, and should be a good everyday second baseman even if he isn’t a great defender.",,,,,,,,,,35,55,50,55,35,55,60,60,30,40,40,,,,,,
